Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
49551,3.9,0.0,356.1,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
49686,332.6,175.0,202.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,180.0,180.0,OK
49876,13.1,319.0,305.9,6.72,52.484031,-1.890197,9,3.83,5.14,73.2,20.0,20.0,OK
50004,103.7,318.0,214.3,1.92,52.484256,-1.88976,9,3.59,141.33,100.47,180.0,180.0,OK
50216,359.6,2.0,2.4,2.88,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
50599,3.0,0.0,357.0,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
50751,332.6,211.0,238.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,154.0,154.0,OK
50921,28.0,0.0,332.0,6.72,52.484046,-1.8902,9,4.56,11.43,64.95,0.0,0.0,OK
51037,89.6,321.0,231.4,1.92,52.484249,-1.889745,8,3.65,129.91,107.84,168.0,168.0,OK
51273,359.6,2.0,2.4,2.88,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
51631,3.0,0.0,357.0,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
51785,332.6,217.0,244.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,142.0,142.0,OK
51951,49.9,354.0,304.1,5.28,52.484066,-1.890203,9,3.2,4.61,52.83,22.0,22.0,OK
52069,83.8,333.0,249.2,1.92,52.484245,-1.88973,7,4.26,121.31,110.59,132.0,132.0,OK
52305,359.6,2.0,2.4,2.88,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
52659,3.1,0.0,356.9,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
52824,332.6,217.0,244.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,142.0,142.0,OK
53023,50.7,335.0,284.3,5.28,52.484077,-1.890212,9,3.54,12.32,52.13,62.0,62.0,OK
53117,106.7,341.0,234.3,1.92,52.484241,-1.889717,8,3.83,105.53,99.31,162.0,162.0,OK
53338,359.6,2.0,2.4,2.88,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
53686,3.1,0.0,356.9,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
53860,332.5,217.0,244.5,0.96,52.483989,-1.88892,7,0.0,287.45,46.7,142.0,142.0,OK
54056,53.2,325.0,271.8,5.28,52.484085,-1.890198,9,4.15,17.79,48.42,88.0,88.0,OK
54156,117.7,327.0,209.3,3.36,52.484233,-1.889698,8,4.33,105.51,94.01,180.0,180.0,OK
54387,359.6,2.0,2.4,2.88,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
54713,3.2,0.0,356.8,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
54893,332.5,226.0,253.5,0.96,52.483989,-1.88892,7,0.0,287.45,46.7,124.0,124.0,OK
55090,57.4,297.0,239.6,5.28,52.4841,-1.8902,9,3.82,11.92,45.0,152.0,152.0,OK
55221,110.3,318.0,207.7,3.36,52.48423,-1.889687,7,2.5,96.6,97.71,180.0,180.0,OK
55419,359.6,2.0,2.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
55768,3.2,0.0,356.8,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
55948,332.5,232.0,259.5,1.44,52.483989,-1.88892,7,0.0,287.45,46.7,112.0,112.0,OK
